totalFlips,clauses,tries,cb,ratio,flips,earlyRestarts,variables,lastRunEntropy,sat,entropy,flipsPerSecond
9204,2000,1,1.5000,4.0000,9204,0,500,0.9465,1,0.9465,85093.6213
6847,2000,1,1.5000,4.0000,6847,0,500,0.9432,1,0.9432,102326.6642
21193,2000,1,1.5000,4.0000,21193,0,500,0.9622,1,0.9622,50224.7466
11685,2000,1,1.5000,4.0000,11685,0,500,0.9626,1,0.9626,72124.6080
168760,2000,7,1.5000,4.0000,18760,0,500,0.9666,1,0.9694,26635.9453
10984,2000,1,1.5000,4.0000,10984,0,500,0.9552,1,0.9552,72620.4983
3784,2000,1,1.5000,4.0000,3784,0,500,0.9393,1,0.9393,138542.0259
73727,2000,3,1.5000,4.0000,23727,0,500,0.9611,1,0.9634,31089.4035
10489,2000,1,1.5000,4.0000,10489,0,500,0.9645,1,0.9645,77407.2448
16246,2000,1,1.5000,4.0000,16246,0,500,0.9653,1,0.9653,59258.6642
8394,2000,1,1.5000,4.0000,8394,0,500,0.9529,1,0.9529,89796.9075
47973,2000,2,1.5000,4.0000,22973,0,500,0.9626,1,0.9650,35365.1134
261673,2000,11,1.5000,4.0000,11673,0,500,0.9521,1,0.9694,25657.2219
146573,2000,6,1.5000,4.0000,21573,0,500,0.9657,1,0.9689,27571.4120
35241,2000,2,1.5000,4.0000,10241,0,500,0.9592,1,0.9643,39277.4470
19428,2000,1,1.5000,4.0000,19428,0,500,0.9655,1,0.9655,53545.4039
147780,2000,6,1.5000,4.0000,22780,0,500,0.9726,1,0.9724,27536.8822
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9696,0,0.9354,24077.0746
114727,2000,5,1.5000,4.0000,14727,0,500,0.9628,1,0.9638,28187.2498
15939,2000,1,1.5000,4.0000,15939,0,500,0.9572,1,0.9572,59506.3845
142779,2000,6,1.5000,4.0000,17779,0,500,0.9641,1,0.9666,27254.4190
35576,2000,2,1.5000,4.0000,10576,0,500,0.9582,1,0.9638,39720.1266
9089,2000,1,1.5000,4.0000,9089,0,500,0.9581,1,0.9581,85550.8188
36645,2000,2,1.5000,4.0000,11645,0,500,0.9578,1,0.9625,39086.8853
107746,2000,5,1.5000,4.0000,7746,0,500,0.9601,1,0.9660,28892.2285
103668,2000,5,1.5000,4.0000,3668,0,500,0.9452,1,0.9632,29044.3838
39802,2000,2,1.5000,4.0000,14802,0,500,0.9701,1,0.9710,37996.9552
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9713,0,0.9381,24260.4435
136991,2000,6,1.5000,4.0000,11991,0,500,0.9653,1,0.9688,27872.0797
