sat,ratio,cb,tries,clauses,flips,variables,entropy,earlyRestarts,totalFlips,flipsPerSecond,lastRunEntropy
0,4.0000,0.0000,30,2000,25000,500,0.9503,0,7500000,24217.5679,0.9835
0,4.0000,0.0000,30,2000,25000,500,0.9513,0,7500000,24345.9828,0.9843
0,4.0000,0.0000,30,2000,25000,500,0.9485,0,7500000,24283.7146,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24206.2784,0.9825
0,4.0000,0.0000,30,2000,25000,500,0.9487,0,7500000,24245.0539,0.9832
0,4.0000,0.0000,29,2000,25000,500,0.9472,0,7250000,24073.0587,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9485,0,7500000,24191.3464,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9465,0,7500000,24277.2079,0.9783
0,4.0000,0.0000,30,2000,25000,500,0.9494,0,7500000,24207.4516,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9462,0,7250000,24131.8179,0.9807
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24366.4266,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9517,0,7500000,24518.3107,0.9848
0,4.0000,0.0000,30,2000,25000,500,0.9474,0,7500000,24194.8493,0.9805
0,4.0000,0.0000,30,2000,25000,500,0.9484,0,7500000,24215.7745,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9478,0,7250000,24119.1614,0.9820
0,4.0000,0.0000,30,2000,25000,500,0.9510,0,7500000,24357.8017,0.9838
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24177.4523,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9491,0,7500000,24203.8685,0.9823
0,4.0000,0.0000,29,2000,25000,500,0.9477,0,7250000,24154.4817,0.9804
0,4.0000,0.0000,29,2000,25000,500,0.9475,0,7250000,24020.7729,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9492,0,7500000,24240.6886,0.9815
0,4.0000,0.0000,29,2000,25000,500,0.9464,0,7250000,23941.2009,0.9783
0,4.0000,0.0000,29,2000,25000,500,0.9465,0,7250000,24101.4169,0.9815
0,4.0000,0.0000,30,2000,25000,500,0.9497,0,7500000,24136.6096,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9496,0,7500000,24155.3899,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9473,0,7250000,24026.6309,0.9799
0,4.0000,0.0000,30,2000,25000,500,0.9492,0,7500000,24147.7052,0.9826
0,4.0000,0.0000,30,2000,25000,500,0.9503,0,7500000,24191.7098,0.9830
0,4.0000,0.0000,29,2000,25000,500,0.9462,0,7250000,24094.6579,0.9809
0,4.0000,0.0000,29,2000,25000,500,0.9465,0,7250000,23988.7466,0.9812
0,4.0000,0.0000,30,2000,25000,500,0.9507,0,7500000,24215.5390,0.9832
0,4.0000,0.0000,30,2000,25000,500,0.9496,0,7500000,24196.7276,0.9828
0,4.0000,0.0000,29,2000,25000,500,0.9474,0,7250000,24076.2434,0.9818
0,4.0000,0.0000,30,2000,25000,500,0.9505,0,7500000,24234.3677,0.9848
0,4.0000,0.0000,29,2000,25000,500,0.9457,0,7250000,24077.5678,0.9804
0,4.0000,0.0000,30,2000,25000,500,0.9464,0,7500000,24168.6790,0.9786
0,4.0000,0.0000,29,2000,25000,500,0.9471,0,7250000,24061.2454,0.9815
0,4.0000,0.0000,30,2000,25000,500,0.9482,0,7500000,24158.8890,0.9812
0,4.0000,0.0000,30,2000,25000,500,0.9504,0,7500000,24274.7119,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9508,0,7500000,24303.2220,0.9832
0,4.0000,0.0000,30,2000,25000,500,0.9484,0,7500000,24165.5940,0.9795
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24309.2121,0.9833
0,4.0000,0.0000,30,2000,25000,500,0.9498,0,7500000,24215.7353,0.9823
0,4.0000,0.0000,30,2000,25000,500,0.9472,0,7500000,24305.7610,0.9796
0,4.0000,0.0000,30,2000,25000,500,0.9497,0,7500000,24329.6356,0.9822
0,4.0000,0.0000,30,2000,25000,500,0.9468,0,7500000,24153.6409,0.9802
0,4.0000,0.0000,29,2000,25000,500,0.9454,0,7250000,24032.6572,0.9787
0,4.0000,0.0000,29,2000,25000,500,0.9481,0,7250000,24109.5143,0.9806
0,4.0000,0.0000,29,2000,25000,500,0.9475,0,7250000,24050.4644,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9481,0,7500000,24146.6368,0.9807
0,4.0000,0.0000,29,2000,25000,500,0.9475,0,7250000,24144.8026,0.9820
0,4.0000,0.0000,29,2000,25000,500,0.9452,0,7250000,24119.9716,0.9787
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24263.1936,0.9821
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24214.9354,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9504,0,7500000,24371.0437,0.9831
0,4.0000,0.0000,29,2000,25000,500,0.9457,0,7250000,24101.2968,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24246.6573,0.9804
0,4.0000,0.0000,30,2000,25000,500,0.9479,0,7500000,24152.4765,0.9809
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24233.3938,0.9818
0,4.0000,0.0000,30,2000,25000,500,0.9471,0,7500000,24151.8245,0.9794
0,4.0000,0.0000,30,2000,25000,500,0.9473,0,7500000,24209.7962,0.9797
0,4.0000,0.0000,30,2000,25000,500,0.9509,0,7500000,24393.0173,0.9840
0,4.0000,0.0000,29,2000,25000,500,0.9479,0,7250000,24158.3670,0.9828
0,4.0000,0.0000,29,2000,25000,500,0.9491,0,7250000,24155.3982,0.9839
0,4.0000,0.0000,30,2000,25000,500,0.9485,0,7500000,24141.4777,0.9810
