flips,sat,earlyRestarts,entropy,lastRunEntropy,totalFlips,flipsPerSecond,ratio,clauses,variables,tries,cb
2875,1,0,0.8950,0.8950,2875,199470.1280,4.0000,2000,500,1,2.0000
18008,1,0,0.9468,0.9329,43008,36338.6311,4.0000,2000,500,2,2.0000
22883,1,0,0.9511,0.9590,47883,35483.7493,4.0000,2000,500,2,2.0000
10967,1,0,0.9229,0.9229,10967,74838.9838,4.0000,2000,500,1,2.0000
3905,1,0,0.9122,0.9122,3905,159509.5593,4.0000,2000,500,1,2.0000
12468,1,0,0.9447,0.9537,62468,32549.1403,4.0000,2000,500,3,2.0000
8015,1,0,0.9349,0.9349,8015,92740.0201,4.0000,2000,500,1,2.0000
2321,1,0,0.9062,0.9062,2321,232021.8584,4.0000,2000,500,1,2.0000
6284,1,0,0.9338,0.9338,6284,110671.1613,4.0000,2000,500,1,2.0000
11179,1,0,0.9323,0.9323,11179,74182.7927,4.0000,2000,500,1,2.0000
12099,1,0,0.9485,0.9391,62099,32804.5542,4.0000,2000,500,3,2.0000
849,1,0,0.8963,0.8963,849,464098.7115,4.0000,2000,500,1,2.0000
20933,1,0,0.9523,0.9523,20933,51207.7619,4.0000,2000,500,1,2.0000
10513,1,0,0.9366,0.9185,35513,38775.5766,4.0000,2000,500,2,2.0000
13350,1,0,0.9331,0.9331,13350,66063.7781,4.0000,2000,500,1,2.0000
9570,1,0,0.9311,0.9069,59570,33135.2130,4.0000,2000,500,3,2.0000
10471,1,0,0.9431,0.9431,10471,77848.9307,4.0000,2000,500,1,2.0000
16172,1,0,0.9394,0.9394,16172,59061.2078,4.0000,2000,500,1,2.0000
6019,1,0,0.9172,0.9172,6019,113811.6596,4.0000,2000,500,1,2.0000
23031,1,0,0.9405,0.9405,23031,48908.6567,4.0000,2000,500,1,2.0000
22356,1,0,0.9501,0.9482,172356,26533.7967,4.0000,2000,500,7,2.0000
7584,1,0,0.9387,0.9387,7584,95717.5895,4.0000,2000,500,1,2.0000
8657,1,0,0.9285,0.9285,8657,86352.3442,4.0000,2000,500,1,2.0000
18154,1,0,0.9369,0.9285,193154,25921.4398,4.0000,2000,500,8,2.0000
10262,1,0,0.9510,0.9456,35262,39632.7310,4.0000,2000,500,2,2.0000
