cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,25000,21290.2247,1.2141,4500000,0,0.6000,18,1.1822,500,0,2050
2.3800,4.1000,20074,31189.2743,0.9467,45074,0,0.6500,2,1.0751,500,1,2050
2.3800,4.1000,3028,169250.1703,0.8931,3028,0,0.6500,1,0.8931,500,1,2050
2.3800,4.1000,6649,93592.1763,0.9165,6649,0,0.5500,1,0.9165,500,1,2050
2.3800,4.1000,15530,24473.5250,0.9364,115530,0,0.5000,5,1.1948,500,1,2050
2.3800,4.1000,4290,127559.6458,0.8324,4290,0,0.6000,1,0.8324,500,1,2050
2.3800,4.1000,8554,76921.0502,0.9038,8554,0,0.5500,1,0.9038,500,1,2050
2.3800,4.1000,4216,29067.6360,0.9193,54216,0,0.4000,3,1.0991,500,1,2050
2.3800,4.1000,8498,77872.2190,0.9371,8498,0,0.4000,1,0.9371,500,1,2050
2.3800,4.1000,19878,44827.6500,0.8708,19878,0,0.4000,1,0.8708,500,1,2050
2.3800,4.1000,9656,71562.3834,0.9000,9656,0,0.4500,1,0.9000,500,1,2050
2.3800,4.1000,19276,46052.2312,0.8707,19276,0,0.5000,1,0.8707,500,1,2050
2.3800,4.1000,21649,30909.9304,0.9402,46649,0,0.4000,2,1.1048,500,1,2050
2.3800,4.1000,8434,35408.8386,0.9126,33434,0,0.6500,2,1.0874,500,1,2050
2.3800,4.1000,25000,21351.5508,1.1941,4500000,0,0.5500,18,1.1703,500,0,2050
2.3800,4.1000,13510,33139.7237,0.9374,38510,0,0.4000,2,1.0913,500,1,2050
2.3800,4.1000,12220,59872.3696,0.8958,12220,0,0.6000,1,0.8958,500,1,2050
2.3800,4.1000,9428,24758.1267,0.9144,109428,0,0.6000,5,1.1333,500,1,2050
2.3800,4.1000,16499,49237.8996,0.9176,16499,0,0.4500,1,0.9176,500,1,2050
2.3800,4.1000,2216,209072.2200,0.8852,2216,0,0.6000,1,0.8852,500,1,2050
2.3800,4.1000,10321,66986.7437,0.8517,10321,0,0.4500,1,0.8517,500,1,2050
2.3800,4.1000,12757,33443.9020,0.9300,37757,0,0.4500,2,1.1209,500,1,2050
2.3800,4.1000,17379,21361.2195,0.9367,417379,0,0.4000,17,1.2464,500,1,2050
2.3800,4.1000,10327,22149.5479,0.9130,260327,0,0.4500,11,1.2055,500,1,2050
2.3800,4.1000,25000,21601.9382,1.2836,4500000,0,0.6500,18,1.1795,500,0,2050
2.3800,4.1000,19766,46047.4966,0.9250,19766,0,0.5500,1,0.9250,500,1,2050
2.3800,4.1000,10008,34401.2174,0.9345,35008,0,0.4000,2,1.0809,500,1,2050
2.3800,4.1000,25000,21412.7310,1.2773,4500000,0,0.4500,18,1.1812,500,0,2050
2.3800,4.1000,23783,41550.5655,0.9242,23783,0,0.4000,1,0.9242,500,1,2050
