totalFlips,lastRunEntropy,tries,earlyRestarts,variables,flipsPerSecond,entropy,flips,cb,minEntropy,ratio,sat,clauses
70289,0.9461,3,0,500,31386.0086,1.0927,20289,2.3800,0.0000,4.2000,1,2100
5000000,1.2854,20,0,500,24242.9735,1.1829,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1757,20,0,500,24487.4819,1.0370,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1089,20,0,500,24205.7665,1.1714,25000,2.3800,0.0000,4.2000,0,2100
14366,0.9285,1,0,500,62957.0687,0.9285,14366,2.3800,0.0000,4.2000,1,2100
10485,0.9284,1,0,500,75504.4767,0.9284,10485,2.3800,0.0000,4.2000,1,2100
9496,0.9174,1,0,500,81942.3252,0.9174,9496,2.3800,0.0000,4.2000,1,2100
190124,0.9037,8,0,500,26261.6292,1.1686,15124,2.3800,0.0000,4.2000,1,2100
5000000,1.2485,20,0,500,24451.0231,1.2155,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2771,20,0,500,24551.6353,1.1266,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2273,20,0,500,24510.5031,1.1595,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1748,20,0,500,24812.5751,1.1729,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1860,20,0,500,24464.5538,1.1572,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2040,20,0,500,24271.8762,1.1198,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1834,20,0,500,24516.0472,1.1767,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2585,20,0,500,24502.5928,1.1476,25000,2.3800,0.0000,4.2000,0,2100
168827,0.9138,7,0,500,26848.9532,1.0354,18827,2.3800,0.0000,4.2000,1,2100
3470,0.8955,1,0,500,168829.3746,0.8955,3470,2.3800,0.0000,4.2000,1,2100
113690,0.9342,5,0,500,28310.8240,1.2213,13690,2.3800,0.0000,4.2000,1,2100
5000000,1.3035,20,0,500,24506.6232,1.1862,25000,2.3800,0.0000,4.2000,0,2100
13990,0.9326,1,0,500,63722.8299,0.9326,13990,2.3800,0.0000,4.2000,1,2100
35311,0.8926,2,0,500,38779.2913,1.0573,10311,2.3800,0.0000,4.2000,1,2100
95890,0.9267,4,0,500,29239.8552,1.1752,20890,2.3800,0.0000,4.2000,1,2100
112777,0.9360,5,0,500,28388.8564,1.1892,12777,2.3800,0.0000,4.2000,1,2100
38614,0.8899,2,0,500,37577.6441,1.0724,13614,2.3800,0.0000,4.2000,1,2100
24985,0.8991,1,0,500,46307.8144,0.8991,24985,2.3800,0.0000,4.2000,1,2100
30101,0.9216,2,0,500,41092.6392,1.0999,5101,2.3800,0.0000,4.2000,1,2100
296002,0.9356,12,0,500,25155.5180,1.2034,21002,2.3800,0.0000,4.2000,1,2100
7521,0.9115,1,0,500,94413.2389,0.9115,7521,2.3800,0.0000,4.2000,1,2100
5000000,1.1277,20,0,500,24357.3234,1.1103,25000,2.3800,0.0000,4.2000,0,2100
13062,0.9077,1,0,500,65894.3118,0.9077,13062,2.3800,0.0000,4.2000,1,2100
121526,0.9411,5,0,500,27870.7524,1.1969,21526,2.3800,0.0000,4.2000,1,2100
81856,0.9052,4,0,500,30244.5216,1.1355,6856,2.3800,0.0000,4.2000,1,2100
5000000,1.3176,20,0,500,24367.9839,1.1314,25000,2.3800,0.0000,4.2000,0,2100
68586,0.9369,3,0,500,31843.9337,1.1885,18586,2.3800,0.0000,4.2000,1,2100
5000000,1.1680,20,0,500,24554.9239,1.1314,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1278,20,0,500,24336.1847,1.1354,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1836,20,0,500,24209.8247,1.2108,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2652,20,0,500,24337.0034,1.1698,25000,2.3800,0.0000,4.2000,0,2100
4764,0.8806,1,0,500,133253.1336,0.8806,4764,2.3800,0.0000,4.2000,1,2100
5000000,1.2593,20,0,500,24182.3139,1.1402,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.3048,20,0,500,24248.9381,1.1165,25000,2.3800,0.0000,4.2000,0,2100
42524,0.9131,2,0,500,36197.5408,1.0788,17524,2.3800,0.0000,4.2000,1,2100
5000000,1.3156,20,0,500,24240.1935,1.1861,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2685,20,0,500,24251.3662,1.1669,25000,2.3800,0.0000,4.2000,0,2100
312301,0.9174,13,0,500,25093.7031,1.2022,12301,2.3800,0.0000,4.2000,1,2100
9779,0.9148,1,0,500,81127.8858,0.9148,9779,2.3800,0.0000,4.2000,1,2100
5000000,1.1056,20,0,500,24449.9373,1.1289,25000,2.3800,0.0000,4.2000,0,2100
49132,0.9034,2,0,500,34670.4683,1.0793,24132,2.3800,0.0000,4.2000,1,2100
5000000,1.2489,20,0,500,24465.7680,1.1006,25000,2.3800,0.0000,4.2000,0,2100
5000000,0.0000,20,0,500,24425.8649,1.0215,25000,2.3800,0.0000,4.2000,0,2100
196134,0.9428,8,0,500,26168.6437,1.2491,21134,2.3800,0.0000,4.2000,1,2100
391507,0.9292,16,0,500,24812.4322,1.2356,16507,2.3800,0.0000,4.2000,1,2100
143253,0.9369,6,0,500,27240.5858,1.2108,18253,2.3800,0.0000,4.2000,1,2100
5000000,1.3003,20,0,500,24359.5715,1.1868,25000,2.3800,0.0000,4.2000,0,2100
216956,0.9093,9,0,500,25904.8993,1.1565,16956,2.3800,0.0000,4.2000,1,2100
5000000,1.2536,20,0,500,24347.0676,1.1778,25000,2.3800,0.0000,4.2000,0,2100
167853,0.9401,7,0,500,26564.7678,1.1888,17853,2.3800,0.0000,4.2000,1,2100
12435,0.9223,1,0,500,68778.1775,0.9223,12435,2.3800,0.0000,4.2000,1,2100
5000000,1.1848,20,0,500,24665.0060,1.1705,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2115,20,0,500,24441.0827,1.1403,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2426,20,0,500,24650.7201,1.0899,25000,2.3800,0.0000,4.2000,0,2100
16474,0.9137,1,0,500,57671.3723,0.9137,16474,2.3800,0.0000,4.2000,1,2100
5000000,1.1188,20,0,500,24397.5822,1.1541,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1118,20,0,500,24237.9847,1.1691,25000,2.3800,0.0000,4.2000,0,2100
13733,0.9158,1,0,500,65259.2373,0.9158,13733,2.3800,0.0000,4.2000,1,2100
5000000,1.2998,20,0,500,24594.8893,1.1362,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2904,20,0,500,24285.9996,1.1186,25000,2.3800,0.0000,4.2000,0,2100
20519,0.9451,1,0,500,51188.4206,0.9451,20519,2.3800,0.0000,4.2000,1,2100
62791,0.9427,3,0,500,31966.1473,0.7452,12791,2.3800,0.0000,4.2000,1,2100
5000000,1.2633,20,0,500,24334.4093,1.1895,25000,2.3800,0.0000,4.2000,0,2100
14862,0.9209,1,0,500,60908.0565,0.9209,14862,2.3800,0.0000,4.2000,1,2100
70836,0.9289,3,0,500,31318.0544,1.1197,20836,2.3800,0.0000,4.2000,1,2100
5000000,1.1692,20,0,500,24371.4448,1.1166,25000,2.3800,0.0000,4.2000,0,2100
282257,0.9364,12,0,500,25210.1295,1.1415,7257,2.3800,0.0000,4.2000,1,2100
5000000,1.2746,20,0,500,24175.5017,1.1910,25000,2.3800,0.0000,4.2000,0,2100
12655,0.9261,1,0,500,68605.8880,0.9261,12655,2.3800,0.0000,4.2000,1,2100
5000000,1.1784,20,0,500,24449.9738,1.1206,25000,2.3800,0.0000,4.2000,0,2100
8012,0.8724,1,0,500,92075.4144,0.8724,8012,2.3800,0.0000,4.2000,1,2100
24167,0.9357,1,0,500,47443.1316,0.9357,24167,2.3800,0.0000,4.2000,1,2100
5000000,1.2463,20,0,500,24515.6829,1.1463,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1841,20,0,500,24445.2904,1.1347,25000,2.3800,0.0000,4.2000,0,2100
146025,0.9107,6,0,500,27266.2283,1.1847,21025,2.3800,0.0000,4.2000,1,2100
12686,0.9332,1,0,500,68007.0786,0.9332,12686,2.3800,0.0000,4.2000,1,2100
139366,0.9328,6,0,500,27249.0944,1.2172,14366,2.3800,0.0000,4.2000,1,2100
193260,0.9247,8,0,500,26012.2408,1.2483,18260,2.3800,0.0000,4.2000,1,2100
197416,0.9230,8,0,500,26130.1359,1.1971,22416,2.3800,0.0000,4.2000,1,2100
285059,0.8986,12,0,500,25143.5611,1.2187,10059,2.3800,0.0000,4.2000,1,2100
5000000,1.2330,20,0,500,24065.4556,1.1144,25000,2.3800,0.0000,4.2000,0,2100
32008,0.8870,2,0,500,40915.1516,1.0706,7008,2.3800,0.0000,4.2000,1,2100
287961,0.9020,12,0,500,25014.1249,1.2427,12961,2.3800,0.0000,4.2000,1,2100
5000000,1.2595,20,0,500,24438.3579,1.1666,25000,2.3800,0.0000,4.2000,0,2100
38395,0.8925,2,0,500,37807.6108,1.0793,13395,2.3800,0.0000,4.2000,1,2100
5000000,1.2384,20,0,500,24292.8853,1.1467,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1619,20,0,500,24453.9786,1.1277,25000,2.3800,0.0000,4.2000,0,2100
10457,0.8903,1,0,500,78656.8430,0.8903,10457,2.3800,0.0000,4.2000,1,2100
68460,0.9217,3,0,500,31571.0384,1.0961,18460,2.3800,0.0000,4.2000,1,2100
8359,0.9250,1,0,500,90107.1728,0.9250,8359,2.3800,0.0000,4.2000,1,2100
3456,0.8967,1,0,500,171766.6892,0.8967,3456,2.3800,0.0000,4.2000,1,2100
36539,0.8469,2,0,500,38377.1898,1.0007,11539,2.3800,0.0000,4.2000,1,2100
5000000,1.2793,20,0,500,24336.7334,1.1829,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2664,20,0,500,24537.9535,1.1727,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.0827,20,0,500,24507.5849,1.0961,25000,2.3800,0.0000,4.2000,0,2100
156237,0.9068,7,0,500,26953.1219,1.1926,6237,2.3800,0.0000,4.2000,1,2100
8165,0.9220,1,0,500,91654.9606,0.9220,8165,2.3800,0.0000,4.2000,1,2100
5000000,1.2221,20,0,500,24394.4516,1.1656,25000,2.3800,0.0000,4.2000,0,2100
41037,0.9433,2,0,500,37369.2472,1.1473,16037,2.3800,0.0000,4.2000,1,2100
173782,0.9399,7,0,500,26551.6011,1.1759,23782,2.3800,0.0000,4.2000,1,2100
36791,0.8830,2,0,500,37961.7249,1.0303,11791,2.3800,0.0000,4.2000,1,2100
