sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
1,2100,24824,500,0,18,24747.7276,0.9556,0.9368,449824,4.2000,0.0000,2.0000
0,2100,25000,500,0,20,24273.6419,0.9346,0.9832,5000000,4.2000,0.0000,0.0000
1,2100,12505,500,0,1,70646.6001,0.7756,0.7756,12505,4.2000,0.0000,4.5000
0,2100,25000,500,0,20,24568.8909,0.9309,0.9821,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,20,24389.6562,0.9325,0.9804,5000000,4.2000,0.0000,0.6000
1,2100,19535,500,0,2,37014.8226,0.9213,0.9036,44535,4.2000,0.0000,2.3000
0,2100,25000,500,0,20,24930.2135,0.7514,0.7829,5000000,4.2000,0.0000,4.0000
0,2100,25000,500,0,20,24763.9506,0.8705,0.8783,5000000,4.2000,0.0000,2.5000
0,2100,25000,500,0,20,24247.8606,0.9346,0.9833,5000000,4.2000,0.0000,0.2000
1,2100,21279,500,0,1,50666.5184,0.8500,0.8500,21279,4.2000,0.0000,4.7000
1,2100,18201,500,0,2,36792.4811,0.9201,0.9052,43201,4.2000,0.0000,2.4000
0,2100,25000,500,0,20,24819.3147,0.7263,0.7814,5000000,4.2000,0.0000,4.4000
1,2100,13316,500,0,1,66143.3738,0.8387,0.8387,13316,4.2000,0.0000,3.6000
0,2100,25000,500,0,20,24914.6838,0.6854,0.6336,5000000,4.2000,0.0000,4.9000
0,2100,25000,500,0,20,24789.7325,0.7205,0.8560,5000000,4.2000,0.0000,4.2000
0,2100,25000,500,0,20,24740.2191,0.8737,0.9256,5000000,4.2000,0.0000,2.4000
0,2100,25000,500,0,20,24462.6119,0.9304,0.9789,5000000,4.2000,0.0000,1.0000
1,2100,18290,500,0,1,55100.8708,0.7855,0.7855,18290,4.2000,0.0000,3.4000
0,2100,25000,500,0,20,24319.1672,0.9321,0.9809,5000000,4.2000,0.0000,0.3000
0,2100,25000,500,0,20,24680.9030,0.9287,0.9785,5000000,4.2000,0.0000,1.0000
0,2100,25000,500,0,20,24707.5900,0.9336,0.9822,5000000,4.2000,0.0000,0.6000
0,2100,25000,500,0,20,24655.4506,0.9212,0.9677,5000000,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24552.6209,0.8037,0.9119,5000000,4.2000,0.0000,2.9000
1,2100,15188,500,0,17,24704.9695,0.9636,0.9626,415188,4.2000,0.0000,1.6000
0,2100,25000,500,0,20,24196.1267,0.9326,0.9812,5000000,4.2000,0.0000,0.2000
0,2100,25000,500,0,21,25131.6627,0.7582,0.7251,5250000,4.2000,0.0000,4.5000
1,2100,10268,500,0,3,33178.0325,0.9519,0.9539,60268,4.2000,0.0000,2.0000
0,2100,25000,500,0,20,24713.6771,0.8779,0.9345,5000000,4.2000,0.0000,2.3000
1,2100,19110,500,0,10,26006.8243,0.8627,0.9029,244110,4.2000,0.0000,3.3000
1,2100,15619,500,0,7,27252.5474,0.7453,0.7353,165619,4.2000,0.0000,4.4000
