sat,earlyRestarts,clauses,cb,flipsPerSecond,flips,ratio,tries,totalFlips,entropy,variables
0,0,4000,0.0000,23556.2925,50000,4.0000,29,14500000,9.4676,1000
0,0,4000,0.0000,23408.9241,50000,4.0000,29,14500000,9.4553,1000
0,0,4000,0.0000,23686.7530,50000,4.0000,29,14500000,9.4733,1000
0,0,4000,0.0000,23603.9722,50000,4.0000,29,14500000,9.4649,1000
0,0,4000,0.0000,23596.8570,50000,4.0000,29,14500000,9.4686,1000
0,0,4000,0.0000,23567.0123,50000,4.0000,29,14500000,9.4576,1000
0,0,4000,0.0000,23347.4980,50000,4.0000,29,14500000,9.4451,1000
0,0,4000,0.0000,23240.0575,50000,4.0000,28,14000000,9.4460,1000
0,0,4000,0.0000,23390.1978,50000,4.0000,29,14500000,9.4521,1000
0,0,4000,0.0000,23318.6654,50000,4.0000,28,14000000,9.4460,1000
0,0,4000,0.0000,23578.5565,50000,4.0000,29,14500000,9.4680,1000
0,0,4000,0.0000,23580.3142,50000,4.0000,29,14500000,9.4510,1000
0,0,4000,0.0000,23592.6321,50000,4.0000,29,14500000,9.4616,1000
0,0,4000,0.0000,23594.3611,50000,4.0000,29,14500000,9.4667,1000
0,0,4000,0.0000,23525.7306,50000,4.0000,29,14500000,9.4526,1000
0,0,4000,0.0000,23403.8338,50000,4.0000,29,14500000,9.4511,1000
0,0,4000,0.0000,23565.5099,50000,4.0000,29,14500000,9.4517,1000
0,0,4000,0.0000,23629.5069,50000,4.0000,29,14500000,9.4582,1000
0,0,4000,0.0000,23532.0473,50000,4.0000,29,14500000,9.4429,1000
0,0,4000,0.0000,23545.3218,50000,4.0000,29,14500000,9.4571,1000
0,0,4000,0.0000,23671.2943,50000,4.0000,29,14500000,9.4593,1000
0,0,4000,0.0000,23605.8472,50000,4.0000,29,14500000,9.4610,1000
0,0,4000,0.0000,23491.0713,50000,4.0000,29,14500000,9.4558,1000
0,0,4000,0.0000,23437.3791,50000,4.0000,29,14500000,9.4559,1000
0,0,4000,0.0000,23628.6372,50000,4.0000,29,14500000,9.4622,1000
0,0,4000,0.0000,23520.5139,50000,4.0000,29,14500000,9.4584,1000
0,0,4000,0.0000,23447.3438,50000,4.0000,29,14500000,9.4561,1000
0,0,4000,0.0000,23442.6276,50000,4.0000,29,14500000,9.4617,1000
0,0,4000,0.0000,23316.3380,50000,4.0000,28,14000000,9.4472,1000
0,0,4000,0.0000,23339.1306,50000,4.0000,29,14500000,9.4692,1000
0,0,4000,0.0000,23737.0878,50000,4.0000,29,14500000,9.4613,1000
0,0,4000,0.0000,23766.7791,50000,4.0000,29,14500000,9.4623,1000
0,0,4000,0.0000,23665.9341,50000,4.0000,29,14500000,9.4668,1000
0,0,4000,0.0000,23729.8143,50000,4.0000,29,14500000,9.4700,1000
0,0,4000,0.0000,23618.8497,50000,4.0000,29,14500000,9.4482,1000
0,0,4000,0.0000,23786.3814,50000,4.0000,29,14500000,9.4641,1000
0,0,4000,0.0000,23840.8922,50000,4.0000,29,14500000,9.4706,1000
0,0,4000,0.0000,23736.2357,50000,4.0000,29,14500000,9.4548,1000
0,0,4000,0.0000,23579.0602,50000,4.0000,29,14500000,9.4420,1000
0,0,4000,0.0000,23643.2131,50000,4.0000,29,14500000,9.4706,1000
0,0,4000,0.0000,23596.9392,50000,4.0000,29,14500000,9.4597,1000
0,0,4000,0.0000,23507.4575,50000,4.0000,29,14500000,9.4600,1000
0,0,4000,0.0000,23679.7854,50000,4.0000,29,14500000,9.4654,1000
0,0,4000,0.0000,23607.1166,50000,4.0000,29,14500000,9.4662,1000
0,0,4000,0.0000,23512.1140,50000,4.0000,29,14500000,9.4585,1000
0,0,4000,0.0000,23530.9474,50000,4.0000,29,14500000,9.4564,1000
0,0,4000,0.0000,23469.4443,50000,4.0000,29,14500000,9.4543,1000
0,0,4000,0.0000,23474.3802,50000,4.0000,29,14500000,9.4578,1000
0,0,4000,0.0000,23369.8134,50000,4.0000,29,14500000,9.4663,1000
0,0,4000,0.0000,23421.5303,50000,4.0000,29,14500000,9.4595,1000
0,0,4000,0.0000,23442.3392,50000,4.0000,29,14500000,9.4539,1000
0,0,4000,0.0000,23364.4090,50000,4.0000,29,14500000,9.4686,1000
0,0,4000,0.0000,23445.0176,50000,4.0000,29,14500000,9.4573,1000
0,0,4000,0.0000,23391.5605,50000,4.0000,29,14500000,9.4617,1000
0,0,4000,0.0000,23519.4133,50000,4.0000,29,14500000,9.4720,1000
0,0,4000,0.0000,23465.1094,50000,4.0000,29,14500000,9.4558,1000
0,0,4000,0.0000,23425.4143,50000,4.0000,29,14500000,9.4587,1000
0,0,4000,0.0000,23588.3306,50000,4.0000,29,14500000,9.4600,1000
0,0,4000,0.0000,23602.5194,50000,4.0000,29,14500000,9.4639,1000
0,0,4000,0.0000,23406.7147,50000,4.0000,29,14500000,9.4609,1000
0,0,4000,0.0000,23530.6949,50000,4.0000,29,14500000,9.4587,1000
0,0,4000,0.0000,23503.9011,50000,4.0000,29,14500000,9.4452,1000
0,0,4000,0.0000,23479.5854,50000,4.0000,29,14500000,9.4579,1000
0,0,4000,0.0000,23622.7064,50000,4.0000,29,14500000,9.4694,1000
0,0,4000,0.0000,23447.0174,50000,4.0000,29,14500000,9.4565,1000
0,0,4000,0.0000,23578.5816,50000,4.0000,29,14500000,9.4579,1000
0,0,4000,0.0000,23356.6885,50000,4.0000,29,14500000,9.4658,1000
0,0,4000,0.0000,23393.3652,50000,4.0000,29,14500000,9.4754,1000
0,0,4000,0.0000,23585.5896,50000,4.0000,29,14500000,9.4617,1000
0,0,4000,0.0000,23655.2910,50000,4.0000,29,14500000,9.4629,1000
0,0,4000,0.0000,23314.9914,50000,4.0000,29,14500000,9.4673,1000
0,0,4000,0.0000,23489.6635,50000,4.0000,29,14500000,9.4671,1000
0,0,4000,0.0000,23418.6238,50000,4.0000,29,14500000,9.4627,1000
0,0,4000,0.0000,23198.8831,50000,4.0000,28,14000000,9.4425,1000
0,0,4000,0.0000,23533.9806,50000,4.0000,29,14500000,9.4671,1000
0,0,4000,0.0000,23458.1184,50000,4.0000,29,14500000,9.4472,1000
0,0,4000,0.0000,23683.6017,50000,4.0000,29,14500000,9.4749,1000
0,0,4000,0.0000,23509.3145,50000,4.0000,29,14500000,9.4571,1000
0,0,4000,0.0000,23578.1784,50000,4.0000,29,14500000,9.4500,1000
0,0,4000,0.0000,23524.3719,50000,4.0000,29,14500000,9.4624,1000
0,0,4000,0.0000,23706.4844,50000,4.0000,29,14500000,9.4731,1000
0,0,4000,0.0000,23615.5476,50000,4.0000,29,14500000,9.4635,1000
0,0,4000,0.0000,23601.9545,50000,4.0000,29,14500000,9.4525,1000
0,0,4000,0.0000,23536.2750,50000,4.0000,29,14500000,9.4612,1000
0,0,4000,0.0000,23551.7638,50000,4.0000,29,14500000,9.4643,1000
0,0,4000,0.0000,23443.5429,50000,4.0000,29,14500000,9.4372,1000
0,0,4000,0.0000,23586.9144,50000,4.0000,29,14500000,9.4614,1000
0,0,4000,0.0000,23521.5646,50000,4.0000,29,14500000,9.4673,1000
0,0,4000,0.0000,23649.2736,50000,4.0000,29,14500000,9.4575,1000
0,0,4000,0.0000,23761.6822,50000,4.0000,29,14500000,9.4490,1000
0,0,4000,0.0000,23310.8563,50000,4.0000,28,14000000,9.4517,1000
0,0,4000,0.0000,23328.8816,50000,4.0000,28,14000000,9.4384,1000
0,0,4000,0.0000,23329.4912,50000,4.0000,29,14500000,9.4579,1000
0,0,4000,0.0000,23397.3906,50000,4.0000,29,14500000,9.4631,1000
0,0,4000,0.0000,25604.4085,50000,4.0000,31,15500000,9.4700,1000
0,0,4000,0.0000,25874.0008,50000,4.0000,32,16000000,9.4868,1000
0,0,4000,0.0000,25759.5555,50000,4.0000,31,15500000,9.4812,1000
0,0,4000,0.0000,25786.8953,50000,4.0000,32,16000000,9.4848,1000
0,0,4000,0.0000,25820.4444,50000,4.0000,31,15500000,9.4810,1000
0,0,4000,0.0000,25936.9423,50000,4.0000,32,16000000,9.4936,1000
0,0,4000,0.0000,25895.5133,50000,4.0000,32,16000000,9.4852,1000
0,0,4000,0.0000,25819.1837,50000,4.0000,32,16000000,9.4881,1000
0,0,4000,0.1000,21696.9565,50000,4.0000,27,13500000,9.1443,1000
0,0,4000,0.1000,21754.2984,50000,4.0000,27,13500000,9.1580,1000
0,0,4000,0.1000,21747.5779,50000,4.0000,27,13500000,9.1349,1000
0,0,4000,0.1000,21867.6505,50000,4.0000,27,13500000,9.1685,1000
0,0,4000,0.1000,21584.9978,50000,4.0000,26,13000000,9.1192,1000
0,0,4000,0.1000,21645.2012,50000,4.0000,27,13500000,9.1363,1000
0,0,4000,0.1000,21719.9490,50000,4.0000,27,13500000,9.1520,1000
0,0,4000,0.1000,21637.1138,50000,4.0000,27,13500000,9.1460,1000
0,0,4000,0.1000,21690.5545,50000,4.0000,27,13500000,9.1478,1000
0,0,4000,0.1000,21787.5204,50000,4.0000,27,13500000,9.1445,1000
0,0,4000,0.1000,21891.3553,50000,4.0000,27,13500000,9.1712,1000
0,0,4000,0.1000,21916.0927,50000,4.0000,27,13500000,9.1697,1000
0,0,4000,0.1000,21651.8272,50000,4.0000,27,13500000,9.1627,1000
0,0,4000,0.1000,21827.0138,50000,4.0000,27,13500000,9.1712,1000
0,0,4000,0.1000,21948.3384,50000,4.0000,27,13500000,9.1838,1000
0,0,4000,0.1000,21928.5676,50000,4.0000,27,13500000,9.1783,1000
0,0,4000,0.1000,21591.9986,50000,4.0000,26,13000000,9.1192,1000
