entropy,totalFlips,cb,flips,variables,ratio,tries,flipsPerSecond,clauses,earlyRestarts,sat
9.4623,14000000,0.0000,50000,1000,4.2000,28,22972.9560,4200,0,0
9.4678,14000000,0.0000,50000,1000,4.2000,28,22940.8297,4200,0,0
9.4549,14000000,0.0000,50000,1000,4.2000,28,22810.8621,4200,0,0
9.4573,14000000,0.0000,50000,1000,4.2000,28,22788.9115,4200,0,0
9.4637,14000000,0.0000,50000,1000,4.2000,28,22902.5380,4200,0,0
9.4699,14000000,0.0000,50000,1000,4.2000,28,22936.5591,4200,0,0
9.4652,14000000,0.0000,50000,1000,4.2000,28,22881.8819,4200,0,0
9.4631,14000000,0.0000,50000,1000,4.2000,28,22999.9467,4200,0,0
9.4726,14000000,0.0000,50000,1000,4.2000,28,22949.8742,4200,0,0
9.4578,14000000,0.0000,50000,1000,4.2000,28,22768.1134,4200,0,0
9.4675,14000000,0.0000,50000,1000,4.2000,28,22849.5600,4200,0,0
9.4673,14000000,0.0000,50000,1000,4.2000,28,22925.2522,4200,0,0
9.4530,14000000,0.0000,50000,1000,4.2000,28,22992.2104,4200,0,0
9.4668,14000000,0.0000,50000,1000,4.2000,28,22853.9369,4200,0,0
9.4553,14000000,0.0000,50000,1000,4.2000,28,22988.5314,4200,0,0
9.4615,14000000,0.0000,50000,1000,4.2000,28,22876.1484,4200,0,0
9.4610,14000000,0.0000,50000,1000,4.2000,28,22950.7398,4200,0,0
9.4668,14000000,0.0000,50000,1000,4.2000,28,22870.5008,4200,0,0
9.4626,14000000,0.0000,50000,1000,4.2000,28,22771.8019,4200,0,0
9.4620,14000000,0.0000,50000,1000,4.2000,28,22868.7975,4200,0,0
9.4584,14000000,0.0000,50000,1000,4.2000,28,22855.3592,4200,0,0
9.4614,14000000,0.0000,50000,1000,4.2000,28,22826.9016,4200,0,0
9.4561,14000000,0.0000,50000,1000,4.2000,28,22866.5899,4200,0,0
9.4685,14000000,0.0000,50000,1000,4.2000,28,22926.5187,4200,0,0
9.4523,14000000,0.0000,50000,1000,4.2000,28,22845.3342,4200,0,0
9.4572,14000000,0.0000,50000,1000,4.2000,28,22755.2664,4200,0,0
9.4715,14000000,0.0000,50000,1000,4.2000,28,22854.6662,4200,0,0
9.4464,14000000,0.0000,50000,1000,4.2000,28,22600.3282,4200,0,0
9.4664,14000000,0.0000,50000,1000,4.2000,28,22650.2670,4200,0,0
9.4678,14000000,0.0000,50000,1000,4.2000,28,22867.9823,4200,0,0
9.4655,14000000,0.0000,50000,1000,4.2000,28,22927.5828,4200,0,0
9.4554,14000000,0.0000,50000,1000,4.2000,28,22823.1351,4200,0,0
9.4647,14000000,0.0000,50000,1000,4.2000,28,22836.6485,4200,0,0
9.4656,14000000,0.0000,50000,1000,4.2000,28,22761.9955,4200,0,0
9.4587,14000000,0.0000,50000,1000,4.2000,28,22764.4904,4200,0,0
9.4709,14000000,0.0000,50000,1000,4.2000,28,22854.7674,4200,0,0
9.4699,14000000,0.0000,50000,1000,4.2000,28,22923.6774,4200,0,0
9.4727,14000000,0.0000,50000,1000,4.2000,28,22795.0010,4200,0,0
9.4624,14000000,0.0000,50000,1000,4.2000,28,22756.9687,4200,0,0
9.4654,14000000,0.0000,50000,1000,4.2000,28,22871.2936,4200,0,0
9.4607,14000000,0.0000,50000,1000,4.2000,28,22849.1976,4200,0,0
9.4610,14000000,0.0000,50000,1000,4.2000,28,22740.0236,4200,0,0
9.4603,14000000,0.0000,50000,1000,4.2000,28,22870.6632,4200,0,0
9.4634,14000000,0.0000,50000,1000,4.2000,28,22775.3224,4200,0,0
9.4653,14000000,0.0000,50000,1000,4.2000,28,22902.7057,4200,0,0
9.4510,14000000,0.0000,50000,1000,4.2000,28,22718.5682,4200,0,0
9.4597,14000000,0.0000,50000,1000,4.2000,28,22803.9695,4200,0,0
9.4597,14000000,0.0000,50000,1000,4.2000,28,22761.3330,4200,0,0
9.4595,14000000,0.0000,50000,1000,4.2000,28,22707.0429,4200,0,0
9.4647,14000000,0.0000,50000,1000,4.2000,28,22863.1977,4200,0,0
9.4598,14000000,0.0000,50000,1000,4.2000,28,22724.7754,4200,0,0
9.4622,14000000,0.0000,50000,1000,4.2000,28,22801.3620,4200,0,0
9.4523,14000000,0.0000,50000,1000,4.2000,28,22758.5367,4200,0,0
9.4591,14000000,0.0000,50000,1000,4.2000,28,22649.4451,4200,0,0
9.4621,14000000,0.0000,50000,1000,4.2000,28,22654.7415,4200,0,0
9.4529,14000000,0.0000,50000,1000,4.2000,28,22597.3667,4200,0,0
9.4633,14000000,0.0000,50000,1000,4.2000,28,22750.3505,4200,0,0
9.4861,15000000,0.0000,50000,1000,4.2000,30,24739.9142,4200,0,0
9.4913,15500000,0.0000,50000,1000,4.2000,31,24951.1985,4200,0,0
9.4837,15000000,0.0000,50000,1000,4.2000,30,24950.6826,4200,0,0
9.4812,15000000,0.0000,50000,1000,4.2000,30,24925.3244,4200,0,0
9.4653,15000000,0.0000,50000,1000,4.2000,30,24745.8747,4200,0,0
9.4850,15000000,0.0000,50000,1000,4.2000,30,24987.9436,4200,0,0
9.5018,15500000,0.0000,50000,1000,4.2000,31,24977.3638,4200,0,0
9.4758,15000000,0.0000,50000,1000,4.2000,30,24649.0496,4200,0,0
9.1299,13000000,0.1000,50000,1000,4.2000,26,20924.4509,4200,0,0
9.1636,13000000,0.1000,50000,1000,4.2000,26,21227.2920,4200,0,0
9.1070,13000000,0.1000,50000,1000,4.2000,26,21008.4372,4200,0,0
9.1406,13000000,0.1000,50000,1000,4.2000,26,21098.0446,4200,0,0
9.1336,12500000,0.1000,50000,1000,4.2000,25,20801.9844,4200,0,0
9.1618,13000000,0.1000,50000,1000,4.2000,26,21000.6743,4200,0,0
9.1673,13000000,0.1000,50000,1000,4.2000,26,21001.8537,4200,0,0
9.1726,13000000,0.1000,50000,1000,4.2000,26,20962.4057,4200,0,0
9.1884,13000000,0.1000,50000,1000,4.2000,26,21382.9088,4200,0,0
9.1534,13000000,0.1000,50000,1000,4.2000,26,21264.5284,4200,0,0
9.1441,13000000,0.1000,50000,1000,4.2000,26,21188.2135,4200,0,0
9.1697,13000000,0.1000,50000,1000,4.2000,26,21377.2376,4200,0,0
9.1715,13000000,0.1000,50000,1000,4.2000,26,21111.2536,4200,0,0
9.1424,13000000,0.1000,50000,1000,4.2000,26,21048.5138,4200,0,0
9.1309,13000000,0.1000,50000,1000,4.2000,26,20988.2908,4200,0,0
9.1789,13000000,0.1000,50000,1000,4.2000,26,21241.5255,4200,0,0
9.1497,13000000,0.1000,50000,1000,4.2000,26,21066.4783,4200,0,0
9.1620,13000000,0.1000,50000,1000,4.2000,26,21209.8252,4200,0,0
9.1683,13000000,0.1000,50000,1000,4.2000,26,21326.1856,4200,0,0
9.1515,13000000,0.1000,50000,1000,4.2000,26,21218.4197,4200,0,0
9.1672,13000000,0.1000,50000,1000,4.2000,26,21079.6420,4200,0,0
9.1544,13000000,0.1000,50000,1000,4.2000,26,21151.9983,4200,0,0
9.1522,13000000,0.1000,50000,1000,4.2000,26,21052.1434,4200,0,0
9.1361,13000000,0.1000,50000,1000,4.2000,26,21010.2825,4200,0,0
9.1550,13000000,0.1000,50000,1000,4.2000,26,20947.6458,4200,0,0
9.1886,13000000,0.1000,50000,1000,4.2000,26,21239.1961,4200,0,0
9.1592,13000000,0.1000,50000,1000,4.2000,26,21002.8354,4200,0,0
9.1520,13000000,0.1000,50000,1000,4.2000,26,21031.5917,4200,0,0
9.1576,13000000,0.1000,50000,1000,4.2000,26,21060.6567,4200,0,0
9.1744,13000000,0.1000,50000,1000,4.2000,26,21307.9812,4200,0,0
9.1736,13000000,0.1000,50000,1000,4.2000,26,21279.8957,4200,0,0
9.1583,13000000,0.1000,50000,1000,4.2000,26,21248.4443,4200,0,0
9.1794,13000000,0.1000,50000,1000,4.2000,26,21194.1733,4200,0,0
9.1818,13000000,0.1000,50000,1000,4.2000,26,21303.5440,4200,0,0
9.1607,13000000,0.1000,50000,1000,4.2000,26,21175.2133,4200,0,0
9.1350,13000000,0.1000,50000,1000,4.2000,26,20981.8134,4200,0,0
9.1696,13000000,0.1000,50000,1000,4.2000,26,21061.4996,4200,0,0
9.1353,13000000,0.1000,50000,1000,4.2000,26,21031.3927,4200,0,0
9.1448,13000000,0.1000,50000,1000,4.2000,26,21086.4612,4200,0,0
9.1436,13000000,0.1000,50000,1000,4.2000,26,21043.3465,4200,0,0
9.1385,13000000,0.1000,50000,1000,4.2000,26,20993.6084,4200,0,0
9.1587,13000000,0.1000,50000,1000,4.2000,26,21152.7883,4200,0,0
9.1693,13000000,0.1000,50000,1000,4.2000,26,21162.2653,4200,0,0
9.1657,13000000,0.1000,50000,1000,4.2000,26,21104.1119,4200,0,0
9.1357,13000000,0.1000,50000,1000,4.2000,26,20991.3418,4200,0,0
9.1616,13000000,0.1000,50000,1000,4.2000,26,21135.7243,4200,0,0
9.1843,13000000,0.1000,50000,1000,4.2000,26,21312.5815,4200,0,0
9.1295,13000000,0.1000,50000,1000,4.2000,26,21020.9060,4200,0,0
9.1723,13000000,0.1000,50000,1000,4.2000,26,21170.8341,4200,0,0
9.1409,13000000,0.1000,50000,1000,4.2000,26,21047.4987,4200,0,0
9.1933,13000000,0.1000,50000,1000,4.2000,26,21379.0609,4200,0,0
9.1389,13000000,0.1000,50000,1000,4.2000,26,21043.6500,4200,0,0
9.1775,13000000,0.1000,50000,1000,4.2000,26,21185.5279,4200,0,0
9.1523,13000000,0.1000,50000,1000,4.2000,26,21137.7329,4200,0,0
9.1693,13000000,0.1000,50000,1000,4.2000,26,21175.4383,4200,0,0
9.1317,13000000,0.1000,50000,1000,4.2000,26,21023.9775,4200,0,0
9.1794,13000000,0.1000,50000,1000,4.2000,26,21282.0321,4200,0,0
9.1430,13000000,0.1000,50000,1000,4.2000,26,21090.6613,4200,0,0
9.1569,13000000,0.1000,50000,1000,4.2000,26,21126.4706,4200,0,0
9.1225,13000000,0.1000,50000,1000,4.2000,26,20852.2924,4200,0,0
9.1464,13000000,0.1000,50000,1000,4.2000,26,20974.7504,4200,0,0
9.1708,13000000,0.1000,50000,1000,4.2000,26,21120.8325,4200,0,0
9.1708,13000000,0.1000,50000,1000,4.2000,26,21100.8397,4200,0,0
9.1673,13000000,0.1000,50000,1000,4.2000,26,21138.0401,4200,0,0
9.1373,13000000,0.1000,50000,1000,4.2000,26,21158.8936,4200,0,0
9.1275,13000000,0.1000,50000,1000,4.2000,26,21109.6249,4200,0,0
9.1393,13000000,0.1000,50000,1000,4.2000,26,21243.5894,4200,0,0
9.1544,13000000,0.1000,50000,1000,4.2000,26,21236.8330,4200,0,0
9.1486,13000000,0.1000,50000,1000,4.2000,26,21071.9203,4200,0,0
9.1395,13000000,0.1000,50000,1000,4.2000,26,21085.7698,4200,0,0
9.1837,13000000,0.1000,50000,1000,4.2000,26,21312.4379,4200,0,0
9.1514,13000000,0.1000,50000,1000,4.2000,26,21226.3739,4200,0,0
9.1636,13000000,0.1000,50000,1000,4.2000,26,21300.2088,4200,0,0
9.1826,13000000,0.1000,50000,1000,4.2000,26,21415.3150,4200,0,0
9.1885,13000000,0.1000,50000,1000,4.2000,26,21432.6344,4200,0,0
9.1552,13000000,0.1000,50000,1000,4.2000,26,21206.3920,4200,0,0
9.1288,13000000,0.1000,50000,1000,4.2000,26,20971.2332,4200,0,0
9.1638,13000000,0.1000,50000,1000,4.2000,26,21251.1251,4200,0,0
9.1252,13000000,0.1000,50000,1000,4.2000,26,21073.9874,4200,0,0
9.1562,13000000,0.1000,50000,1000,4.2000,26,21194.0066,4200,0,0
9.1880,13000000,0.1000,50000,1000,4.2000,26,21305.8403,4200,0,0
9.1630,13000000,0.1000,50000,1000,4.2000,26,21193.8866,4200,0,0
9.1924,13000000,0.1000,50000,1000,4.2000,26,21327.7676,4200,0,0
9.1362,13000000,0.1000,50000,1000,4.2000,26,21005.5374,4200,0,0
9.1442,13000000,0.1000,50000,1000,4.2000,26,20941.7996,4200,0,0
9.1401,13000000,0.1000,50000,1000,4.2000,26,20889.4970,4200,0,0
9.1545,13000000,0.1000,50000,1000,4.2000,26,20910.1550,4200,0,0
9.1575,13000000,0.1000,50000,1000,4.2000,26,20945.7182,4200,0,0
9.1293,13000000,0.1000,50000,1000,4.2000,26,21025.0970,4200,0,0
9.1655,13000000,0.1000,50000,1000,4.2000,26,21203.9542,4200,0,0
9.1343,13000000,0.1000,50000,1000,4.2000,26,21145.5143,4200,0,0
9.1296,13000000,0.1000,50000,1000,4.2000,26,21050.8227,4200,0,0
9.1528,13000000,0.1000,50000,1000,4.2000,26,21211.1520,4200,0,0
9.1428,13000000,0.1000,50000,1000,4.2000,26,21147.6180,4200,0,0
9.1401,13000000,0.1000,50000,1000,4.2000,26,21047.5828,4200,0,0
9.1770,13000000,0.1000,50000,1000,4.2000,26,21230.2821,4200,0,0
9.1391,13000000,0.1000,50000,1000,4.2000,26,21114.3250,4200,0,0
9.1603,13000000,0.1000,50000,1000,4.2000,26,21180.4708,4200,0,0
9.1543,13000000,0.1000,50000,1000,4.2000,26,21159.0420,4200,0,0
9.1373,13000000,0.1000,50000,1000,4.2000,26,21021.2406,4200,0,0
9.1535,13000000,0.1000,50000,1000,4.2000,26,21108.4770,4200,0,0
9.1667,13000000,0.1000,50000,1000,4.2000,26,21248.1223,4200,0,0
9.1642,13000000,0.1000,50000,1000,4.2000,26,21201.8618,4200,0,0
9.1806,13000000,0.1000,50000,1000,4.2000,26,21290.2114,4200,0,0
9.1349,13000000,0.1000,50000,1000,4.2000,26,20961.5442,4200,0,0
9.1641,13000000,0.1000,50000,1000,4.2000,26,21119.8443,4200,0,0
9.1460,13000000,0.1000,50000,1000,4.2000,26,21000.5943,4200,0,0
9.1661,13000000,0.1000,50000,1000,4.2000,26,21216.8784,4200,0,0
9.1640,13000000,0.1000,50000,1000,4.2000,26,21001.3531,4200,0,0
