flipsPerSecond,minEntropy,totalFlips,ratio,entropy,lastRunEntropy,earlyRestarts,flips,cb,variables,tries,sat,clauses
45390.1653,0.5000,19757,4.2000,0.9009,0.9009,0,19757,2.3800,500,1,1,2100
21783.3177,0.4000,293682,4.2000,1.1687,0.9363,0,18682,2.3800,500,12,1,2100
47053.5448,0.6500,17768,4.2000,0.9323,0.9323,0,17768,2.3800,500,1,1,2100
27932.4691,0.6500,63542,4.2000,1.1778,0.8892,0,13542,2.3800,500,3,1,2100
20969.2210,0.4500,4250000,4.2000,1.2074,1.3469,0,25000,2.3800,500,17,0,2100
26830.9685,0.5500,74597,4.2000,1.1178,0.9399,0,24597,2.3800,500,3,1,2100
21203.0692,0.5000,4250000,4.2000,1.1664,1.1730,0,25000,2.3800,500,17,0,2100
75372.3899,0.6000,8729,4.2000,0.9198,0.9198,0,8729,2.3800,500,1,1,2100
22025.5357,0.4000,253123,4.2000,1.1493,0.9286,0,3123,2.3800,500,11,1,2100
21295.0894,0.4500,4500000,4.2000,1.1616,1.2720,0,25000,2.3800,500,18,0,2100
95588.5829,0.4000,6174,4.2000,0.9260,0.9260,0,6174,2.3800,500,1,1,2100
51476.7778,0.5500,15829,4.2000,0.9328,0.9328,0,15829,2.3800,500,1,1,2100
24250.1436,0.4000,118252,4.2000,1.1925,0.8922,0,18252,2.3800,500,5,1,2100
21120.9197,0.5000,4250000,4.2000,1.1244,1.0964,0,25000,2.3800,500,17,0,2100
27407.3754,0.4000,67878,4.2000,1.0962,0.9381,0,17878,2.3800,500,3,1,2100
33132.8402,0.6500,38334,4.2000,1.0626,0.9115,0,13334,2.3800,500,2,1,2100
23586.7124,0.5500,144100,4.2000,1.1717,0.8938,0,19100,2.3800,500,6,1,2100
21264.3576,0.5000,4500000,4.2000,1.1387,1.2823,0,25000,2.3800,500,18,0,2100
33440.8537,0.5500,37014,4.2000,1.0302,0.9033,0,12014,2.3800,500,2,1,2100
32518.0314,0.5500,40030,4.2000,1.0618,0.9278,0,15030,2.3800,500,2,1,2100
23459.2438,0.4000,144411,4.2000,1.1996,0.9463,0,19411,2.3800,500,6,1,2100
21198.1297,0.5500,4500000,4.2000,1.1947,1.2803,0,25000,2.3800,500,18,0,2100
21237.5144,0.5500,4500000,4.2000,1.1629,1.1781,0,25000,2.3800,500,18,0,2100
21182.6985,0.5000,4250000,4.2000,1.1492,1.2372,0,25000,2.3800,500,17,0,2100
21684.9752,0.6000,292043,4.2000,1.2057,0.9103,0,17043,2.3800,500,12,1,2100
22119.0306,0.4000,216090,4.2000,1.2018,0.9018,0,16090,2.3800,500,9,1,2100
27720.2458,0.5000,64415,4.2000,1.1413,0.9338,0,14415,2.3800,500,3,1,2100
22459.0391,0.4500,191095,4.2000,1.2004,0.9194,0,16095,2.3800,500,8,1,2100
83877.3205,0.6000,7557,4.2000,0.9273,0.9273,0,7557,2.3800,500,1,1,2100
20958.7906,0.6500,4250000,4.2000,1.1106,1.2032,0,25000,2.3800,500,17,0,2100
80867.0532,0.4500,7721,4.2000,0.9125,0.9125,0,7721,2.3800,500,1,1,2100
21502.5973,0.5000,349922,4.2000,1.2119,0.9265,0,24922,2.3800,500,14,1,2100
21360.7020,0.4500,4500000,4.2000,1.1480,1.0439,0,25000,2.3800,500,18,0,2100
22491.6056,0.4000,207481,4.2000,1.1882,0.8110,0,7481,2.3800,500,9,1,2100
21341.7392,0.6500,4500000,4.2000,1.1092,1.2157,0,25000,2.3800,500,18,0,2100
71144.2745,0.4500,9439,4.2000,0.9366,0.9366,0,9439,2.3800,500,1,1,2100
21460.9671,0.6000,357713,4.2000,1.2034,0.9104,0,7713,2.3800,500,15,1,2100
46872.5506,0.6000,18263,4.2000,0.9210,0.9210,0,18263,2.3800,500,1,1,2100
35160.9975,0.6500,33124,4.2000,1.1033,0.9023,0,8124,2.3800,500,2,1,2100
22869.8575,0.6000,165676,4.2000,1.2340,0.9304,0,15676,2.3800,500,7,1,2100
21324.0588,0.5500,4500000,4.2000,1.0318,1.1235,0,25000,2.3800,500,18,0,2100
22254.1703,0.4000,247650,4.2000,1.2390,0.9405,0,22650,2.3800,500,10,1,2100
21239.3726,0.6500,4500000,4.2000,1.0403,1.1810,0,25000,2.3800,500,18,0,2100
86405.6982,0.6500,7322,4.2000,0.9195,0.9195,0,7322,2.3800,500,1,1,2100
21187.6032,0.5500,4500000,4.2000,1.1935,1.2634,0,25000,2.3800,500,18,0,2100
71624.6502,0.6000,9443,4.2000,0.9004,0.9004,0,9443,2.3800,500,1,1,2100
31111.9363,0.5500,44602,4.2000,1.0900,0.8790,0,19602,2.3800,500,2,1,2100
21260.3195,0.5500,4500000,4.2000,1.1260,1.2174,0,25000,2.3800,500,18,0,2100
21210.9106,0.5000,4500000,4.2000,1.1309,1.2007,0,25000,2.3800,500,18,0,2100
21284.3402,0.4000,4500000,4.2000,1.1544,1.2527,0,25000,2.3800,500,18,0,2100
21323.5445,0.4000,4500000,4.2000,1.1669,1.2203,0,25000,2.3800,500,18,0,2100
21285.1306,0.4000,4500000,4.2000,1.1519,1.2813,0,25000,2.3800,500,18,0,2100
21200.8477,0.6500,4500000,4.2000,1.1462,1.1962,0,25000,2.3800,500,18,0,2100
54849.2060,0.4000,14297,4.2000,0.8920,0.8920,0,14297,2.3800,500,1,1,2100
21278.1356,0.5000,4500000,4.2000,1.0662,1.2519,0,25000,2.3800,500,18,0,2100
21394.0441,0.6000,4500000,4.2000,1.1396,1.1615,0,25000,2.3800,500,18,0,2100
47673.1383,0.4500,17806,4.2000,0.9124,0.9124,0,17806,2.3800,500,1,1,2100
23171.4504,0.6500,164053,4.2000,1.1948,0.8908,0,14053,2.3800,500,7,1,2100
24326.6943,0.6000,124613,4.2000,1.1541,0.9194,0,24613,2.3800,500,5,1,2100
25443.1028,0.4000,97760,4.2000,1.1475,0.9296,0,22760,2.3800,500,4,1,2100
21371.3371,0.6500,4500000,4.2000,1.1313,1.2472,0,25000,2.3800,500,18,0,2100
21370.9008,0.5000,4500000,4.2000,1.2202,1.3274,0,25000,2.3800,500,18,0,2100
70772.6732,0.5500,9414,4.2000,0.9227,0.9227,0,9414,2.3800,500,1,1,2100
42669.2139,0.6000,21399,4.2000,0.8975,0.8975,0,21399,2.3800,500,1,1,2100
21178.3284,0.6500,4250000,4.2000,1.1750,1.2457,0,25000,2.3800,500,17,0,2100
22253.3594,0.5500,214314,4.2000,1.2037,0.9283,0,14314,2.3800,500,9,1,2100
32976.3480,0.5000,39125,4.2000,1.0436,0.8855,0,14125,2.3800,500,2,1,2100
21213.0735,0.5500,4500000,4.2000,1.1524,1.2110,0,25000,2.3800,500,18,0,2100
21165.8803,0.5500,4250000,4.2000,1.1818,1.2533,0,25000,2.3800,500,17,0,2100
21174.2037,0.6500,4250000,4.2000,1.2126,1.2688,0,25000,2.3800,500,17,0,2100
21180.9416,0.5500,4500000,4.2000,1.1348,1.1766,0,25000,2.3800,500,18,0,2100
21399.2872,0.6500,4500000,4.2000,1.1420,1.3082,0,25000,2.3800,500,18,0,2100
21515.3142,0.6000,394347,4.2000,1.1796,0.9169,0,19347,2.3800,500,16,1,2100
21331.5349,0.4000,4500000,4.2000,1.1600,1.1269,0,25000,2.3800,500,18,0,2100
35828.2492,0.4500,30934,4.2000,1.1048,0.9177,0,5934,2.3800,500,2,1,2100
21269.5432,0.6000,4500000,4.2000,1.1535,1.2812,0,25000,2.3800,500,18,0,2100
21370.0140,0.5000,4500000,4.2000,1.0982,1.1278,0,25000,2.3800,500,18,0,2100
33747.4561,0.5000,35770,4.2000,1.0578,0.9003,0,10770,2.3800,500,2,1,2100
21345.8496,0.5500,4500000,4.2000,1.0392,1.1331,0,25000,2.3800,500,18,0,2100
21192.7100,0.6500,4500000,4.2000,1.1245,1.1636,0,25000,2.3800,500,18,0,2100
21441.8742,0.4000,4500000,4.2000,1.1521,1.2234,0,25000,2.3800,500,18,0,2100
26262.6100,0.5500,79872,4.2000,1.1368,0.9402,0,4872,2.3800,500,4,1,2100
21359.2118,0.4000,4500000,4.2000,1.1563,1.2329,0,25000,2.3800,500,18,0,2100
43516.8581,0.4500,20513,4.2000,0.8778,0.8778,0,20513,2.3800,500,1,1,2100
27585.7497,0.6000,65812,4.2000,1.0946,0.8568,0,15812,2.3800,500,3,1,2100
34515.9356,0.4000,33604,4.2000,0.9784,0.9097,0,8604,2.3800,500,2,1,2100
21598.3168,0.4500,364675,4.2000,1.2495,0.9371,0,14675,2.3800,500,15,1,2100
21179.4134,0.6500,4500000,4.2000,1.1505,1.1703,0,25000,2.3800,500,18,0,2100
21589.8813,0.4500,297816,4.2000,1.2180,0.9060,0,22816,2.3800,500,12,1,2100
21231.4800,0.5500,4250000,4.2000,1.1631,1.0539,0,25000,2.3800,500,17,0,2100
21176.6581,0.5500,4500000,4.2000,1.1793,1.2068,0,25000,2.3800,500,18,0,2100
107189.4137,0.5000,5485,4.2000,0.9083,0.9083,0,5485,2.3800,500,1,1,2100
21237.0901,0.6000,4250000,4.2000,1.1456,1.2101,0,25000,2.3800,500,17,0,2100
21225.1955,0.6000,4500000,4.2000,1.1230,1.2746,0,25000,2.3800,500,18,0,2100
23485.6179,0.5000,142855,4.2000,1.2209,0.9115,0,17855,2.3800,500,6,1,2100
47561.1558,0.4500,17874,4.2000,0.9231,0.9231,0,17874,2.3800,500,1,1,2100
22322.5257,0.4000,222874,4.2000,1.1638,0.9279,0,22874,2.3800,500,9,1,2100
21278.9932,0.5500,4500000,4.2000,1.1087,1.0645,0,25000,2.3800,500,18,0,2100
21236.0796,0.4000,4250000,4.2000,1.0473,1.1764,0,25000,2.3800,500,17,0,2100
48051.6367,0.4000,18231,4.2000,0.9164,0.9164,0,18231,2.3800,500,1,1,2100
21179.9962,0.5000,4250000,4.2000,1.0609,1.2710,0,25000,2.3800,500,17,0,2100
21227.7851,0.6000,4250000,4.2000,1.1519,1.2419,0,25000,2.3800,500,17,0,2100
21217.0330,0.6500,4250000,4.2000,1.1669,1.2249,0,25000,2.3800,500,17,0,2100
21210.0701,0.6500,421216,4.2000,1.2603,0.9008,0,21216,2.3800,500,17,1,2100
43905.3557,0.4500,20605,4.2000,0.9123,0.9123,0,20605,2.3800,500,1,1,2100
21337.2410,0.6500,4500000,4.2000,1.1699,1.2519,0,25000,2.3800,500,18,0,2100
23277.7083,0.4500,161351,4.2000,1.2579,0.9373,0,11351,2.3800,500,7,1,2100
21049.2109,0.6500,4250000,4.2000,1.1332,1.2071,0,25000,2.3800,500,17,0,2100
21217.5088,0.4500,4250000,4.2000,1.1656,1.3947,0,25000,2.3800,500,17,0,2100
21209.3249,0.6000,4250000,4.2000,1.1441,1.1121,0,25000,2.3800,500,17,0,2100
33846.1602,0.5500,35642,4.2000,1.1134,0.9100,0,10642,2.3800,500,2,1,2100
21059.0478,0.4500,4250000,4.2000,1.1282,1.1770,0,25000,2.3800,500,17,0,2100
21231.9791,0.5500,4500000,4.2000,1.0874,1.1175,0,25000,2.3800,500,18,0,2100
30462.1696,0.6500,45785,4.2000,1.0671,0.8931,0,20785,2.3800,500,2,1,2100
